ts_level,ts_label,timeslice_id,season_code,tod_code,n_seasons,n_tod_blocks,months,hours_1indexed,n_hours_per_day,n_days_in_season,annual_hours,fraction_of_year
ts_48,TS48,S2_H1,S2,H1,6,8,"[2, 3]","[1, 2, 3, 4, 5, 6]",6,59,354,0.040411
ts_48,TS48,S2_H2,S2,H2,6,8,"[2, 3]","[7, 8]",2,59,118,0.01347
ts_48,TS48,S2_H3,S2,H3,6,8,"[2, 3]","[9, 10, 11, 12]",4,59,236,0.026941
ts_48,TS48,S2_H4,S2,H4,6,8,"[2, 3]","[13, 14, 15, 16]",4,59,236,0.026941
ts_48,TS48,S2_H5,S2,H5,6,8,"[2, 3]","[17, 18]",2,59,118,0.01347
ts_48,TS48,S2_H6,S2,H6,6,8,"[2, 3]",[19],1,59,59,0.006735
ts_48,TS48,S2_H7,S2,H7,6,8,"[2, 3]","[20, 21, 22]",3,59,177,0.020205
ts_48,TS48,S2_H8,S2,H8,6,8,"[2, 3]","[23, 24]",2,59,118,0.01347
ts_48,TS48,S3_H1,S3,H1,6,8,"[4, 5]","[1, 2, 3, 4, 5, 6]",6,61,366,0.041781
ts_48,TS48,S3_H2,S3,H2,6,8,"[4, 5]","[7, 8]",2,61,122,0.013927
ts_48,TS48,S3_H3,S3,H3,6,8,"[4, 5]","[9, 10, 11, 12]",4,61,244,0.027854
ts_48,TS48,S3_H4,S3,H4,6,8,"[4, 5]","[13, 14, 15, 16]",4,61,244,0.027854
ts_48,TS48,S3_H5,S3,H5,6,8,"[4, 5]","[17, 18]",2,61,122,0.013927
ts_48,TS48,S3_H6,S3,H6,6,8,"[4, 5]",[19],1,61,61,0.006963
ts_48,TS48,S3_H7,S3,H7,6,8,"[4, 5]","[20, 21, 22]",3,61,183,0.02089
ts_48,TS48,S3_H8,S3,H8,6,8,"[4, 5]","[23, 24]",2,61,122,0.013927
ts_48,TS48,S4_H1,S4,H1,6,8,"[6, 7]","[1, 2, 3, 4, 5, 6]",6,61,366,0.041781
ts_48,TS48,S4_H2,S4,H2,6,8,"[6, 7]","[7, 8]",2,61,122,0.013927
ts_48,TS48,S4_H3,S4,H3,6,8,"[6, 7]","[9, 10, 11, 12]",4,61,244,0.027854
ts_48,TS48,S4_H4,S4,H4,6,8,"[6, 7]","[13, 14, 15, 16]",4,61,244,0.027854
ts_48,TS48,S4_H5,S4,H5,6,8,"[6, 7]","[17, 18]",2,61,122,0.013927
ts_48,TS48,S4_H6,S4,H6,6,8,"[6, 7]",[19],1,61,61,0.006963
ts_48,TS48,S4_H7,S4,H7,6,8,"[6, 7]","[20, 21, 22]",3,61,183,0.02089
ts_48,TS48,S4_H8,S4,H8,6,8,"[6, 7]","[23, 24]",2,61,122,0.013927
ts_48,TS48,S5_H1,S5,H1,6,8,"[8, 9]","[1, 2, 3, 4, 5, 6]",6,61,366,0.041781
ts_48,TS48,S5_H2,S5,H2,6,8,"[8, 9]","[7, 8]",2,61,122,0.013927
ts_48,TS48,S5_H3,S5,H3,6,8,"[8, 9]","[9, 10, 11, 12]",4,61,244,0.027854
ts_48,TS48,S5_H4,S5,H4,6,8,"[8, 9]","[13, 14, 15, 16]",4,61,244,0.027854
ts_48,TS48,S5_H5,S5,H5,6,8,"[8, 9]","[17, 18]",2,61,122,0.013927
ts_48,TS48,S5_H6,S5,H6,6,8,"[8, 9]",[19],1,61,61,0.006963
ts_48,TS48,S5_H7,S5,H7,6,8,"[8, 9]","[20, 21, 22]",3,61,183,0.02089
ts_48,TS48,S5_H8,S5,H8,6,8,"[8, 9]","[23, 24]",2,61,122,0.013927
ts_48,TS48,S6_H1,S6,H1,6,8,"[10, 11]","[1, 2, 3, 4, 5, 6]",6,61,366,0.041781
ts_48,TS48,S6_H2,S6,H2,6,8,"[10, 11]","[7, 8]",2,61,122,0.013927
ts_48,TS48,S6_H3,S6,H3,6,8,"[10, 11]","[9, 10, 11, 12]",4,61,244,0.027854
ts_48,TS48,S6_H4,S6,H4,6,8,"[10, 11]","[13, 14, 15, 16]",4,61,244,0.027854
ts_48,TS48,S6_H5,S6,H5,6,8,"[10, 11]","[17, 18]",2,61,122,0.013927
ts_48,TS48,S6_H6,S6,H6,6,8,"[10, 11]",[19],1,61,61,0.006963
ts_48,TS48,S6_H7,S6,H7,6,8,"[10, 11]","[20, 21, 22]",3,61,183,0.02089
ts_48,TS48,S6_H8,S6,H8,6,8,"[10, 11]","[23, 24]",2,61,122,0.013927
ts_72,TS72,S1_H01,S1,H01,6,12,"[1, 12]","[1, 2, 3, 22, 23, 24]",6,62,372,0.042466
