fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10INDIA+,India,C2,"1.5°C, high overshoot",2050,1.2,1.15,1.24,USD2010/GJ,7
biomass,R10INDIA+,India,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2025,1.05,1.04,1.11,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2030,1.1,1.07,1.13,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2035,1.16,1.07,1.39,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2040,1.17,1.08,1.82,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2045,1.16,1.08,2.6,USD2010/GJ,15
biomass,R10INDIA+,India,C3,Likely below 2°C,2050,1.22,1.06,3.43,USD2010/GJ,15
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2025,1.09,1.08,1.1,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2030,1.06,1.02,1.12,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2035,1.11,1.07,1.18,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2040,1.26,1.22,1.37,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2045,1.91,1.63,2.06,USD2010/GJ,8
biomass,R10INDIA+,India,C4,Below 2°C with lower probability,2050,2.51,2.4,2.64,USD2010/GJ,8
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2025,1.05,1.05,1.07,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2030,1.06,1.03,1.08,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2035,1.04,0.98,1.08,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2040,1.0,0.99,1.02,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2045,0.95,0.93,0.97,USD2010/GJ,6
biomass,R10INDIA+,India,C7,High-warming weak-policy (reference),2050,0.93,0.91,0.96,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2025,1.03,1.03,1.03,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2030,0.99,0.98,1.01,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2035,1.02,1.02,1.03,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2040,1.06,1.06,1.07,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2045,1.0,1.0,1.01,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C1,"1.5°C, no/limited overshoot",2050,0.96,0.96,0.96,USD2010/GJ,6
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2025,1.02,1.01,1.03,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2030,1.02,0.99,1.03,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2035,1.01,0.96,1.03,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2040,0.99,0.94,1.0,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2045,0.94,0.92,0.97,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C2,"1.5°C, high overshoot",2050,0.95,0.94,1.0,USD2010/GJ,7
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2025,1.04,1.03,1.11,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2030,1.02,1.01,1.06,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2035,1.14,1.0,1.43,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2040,1.19,0.98,1.93,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2045,1.42,0.92,2.51,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C3,Likely below 2°C,2050,1.79,0.9,3.07,USD2010/GJ,18
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2025,1.15,1.09,1.18,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2030,1.02,1.02,1.02,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2035,1.04,0.97,1.09,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2040,1.1,1.08,1.2,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2045,1.55,1.3,1.62,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2050,1.94,1.81,2.31,USD2010/GJ,8
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2025,1.03,1.03,1.04,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2030,1.01,0.97,1.02,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2035,0.93,0.86,0.97,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2040,0.94,0.88,0.98,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2045,0.92,0.84,1.02,USD2010/GJ,10
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2050,0.87,0.79,1.07,USD2010/GJ,10
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2020,1.0,1.0,1.0,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2025,1.05,1.05,1.05,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2030,1.1,1.1,1.1,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2035,1.16,1.16,1.16,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2040,1.22,1.22,1.22,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2045,1.28,1.28,1.28,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2050,1.24,1.24,1.26,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2025,1.05,1.05,1.05,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2030,1.1,1.1,1.1,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2035,1.16,1.16,1.16,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2040,1.22,1.22,1.22,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2045,1.28,1.28,1.28,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2050,1.35,1.35,1.35,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2020,1.0,1.0,1.0,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2025,1.05,1.04,1.05,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2030,1.1,1.1,1.24,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2035,1.16,1.16,1.43,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2040,1.22,1.22,1.89,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2045,1.28,1.28,2.61,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2050,1.35,1.35,3.43,USD2010/GJ,15
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2020,1.0,1.0,1.0,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2025,0.98,0.97,1.02,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2030,1.21,1.1,1.22,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2035,1.22,1.21,1.26,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2040,1.36,1.34,1.47,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2045,1.71,1.61,1.9,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2050,2.44,2.38,2.51,USD2010/GJ,6
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2020,1.0,1.0,1.0,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2025,1.05,0.98,1.05,USD2010/GJ,7
biomass,R10MIDDLE_EAST,Middle East,C7,High-warming weak-policy (reference),2030,1.1,1.07,1.1,USD2010/GJ,7
