technology,iea_region,year,capex_lo,capex_mid,capex_hi,fixed_om,efficiency,capacity_factor,unit
en_biomass_ccs,ieapg_china,2022,4150.0,4150.0,4150.0,145.0,0.3,0.7,USD2022/kW
en_biomass_ccs,ieapg_china,2030,4100.0,4100.0,4100.0,145.0,0.3,0.7,USD2022/kW
en_biomass_ccs,ieapg_china,2050,3650.0,3650.0,3650.0,125.0,0.3,0.7,USD2022/kW
en_biomass_ccs,ieapg_european_union,2022,5750.0,5750.0,5750.0,205.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_european_union,2030,5700.0,5700.0,5700.0,200.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_european_union,2050,5100.0,5100.0,5100.0,180.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_india,2022,4700.0,4700.0,4700.0,165.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_india,2030,4650.0,4650.0,4650.0,165.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_india,2050,4200.0,4200.0,4200.0,145.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_japan,2022,5700.0,5700.0,5700.0,195.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_japan,2030,5650.0,5650.0,5650.0,200.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_japan,2050,5100.0,5100.0,5100.0,175.0,0.3,0.6,USD2022/kW
en_biomass_ccs,ieapg_middle_east,2022,5150.0,5150.0,5150.0,180.0,0.3,0.8,USD2022/kW
en_biomass_ccs,ieapg_middle_east,2030,5050.0,5050.0,5050.0,175.0,0.3,0.8,USD2022/kW
en_biomass_ccs,ieapg_middle_east,2050,4500.0,4500.0,4500.0,160.0,0.3,0.8,USD2022/kW
en_biomass_ccs,ieapg_russia,2022,5200.0,5200.0,5200.0,180.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_russia,2030,5150.0,5150.0,5150.0,180.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_russia,2050,4600.0,4600.0,4600.0,160.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_united_states,2022,5850.0,5850.0,5850.0,200.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_united_states,2030,5800.0,5800.0,5800.0,205.0,0.3,0.5,USD2022/kW
en_biomass_ccs,ieapg_united_states,2050,5150.0,5150.0,5150.0,180.0,0.3,0.5,USD2022/kW
en_biomass_chp,ieapg_africa,2022,2850.0,2850.0,2850.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_africa,2030,2750.0,2750.0,2750.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_africa,2050,2650.0,2650.0,2650.0,100.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_brazil,2022,2900.0,2900.0,2900.0,110.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_brazil,2030,2850.0,2850.0,2850.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_brazil,2050,2750.0,2750.0,2750.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_china,2022,2500.0,2500.0,2500.0,95.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_china,2030,2450.0,2450.0,2450.0,90.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_china,2050,2350.0,2350.0,2350.0,90.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_european_union,2022,3750.0,3750.0,3750.0,140.0,0.385,0.7,USD2022/kW
en_biomass_chp,ieapg_european_union,2030,3650.0,3650.0,3650.0,140.0,0.385,0.7,USD2022/kW
en_biomass_chp,ieapg_european_union,2050,3550.0,3550.0,3550.0,130.0,0.385,0.7,USD2022/kW
en_biomass_chp,ieapg_india,2022,2800.0,2800.0,2800.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_india,2030,2750.0,2750.0,2750.0,105.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_india,2050,2650.0,2650.0,2650.0,100.0,0.385,0.5,USD2022/kW
en_biomass_chp,ieapg_japan,2022,3900.0,3900.0,3900.0,145.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_japan,2030,3800.0,3800.0,3800.0,145.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_japan,2050,3700.0,3700.0,3700.0,140.0,0.385,0.6,USD2022/kW
en_biomass_chp,ieapg_middle_east,2022,2950.0,2950.0,2950.0,110.0,0.385,0.5,USD2022/kW
