fuel,r10_region,region_label,ar6_category,category_label,year,median_price,q25_price,q75_price,unit,n_scenarios
biomass,R10LATIN_AM,Latin America,C4,Below 2°C with lower probability,2050,3.97,2.48,5.12,USD2010/GJ,63
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2020,1.97,1.01,4.51,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2025,4.14,1.38,5.32,USD2010/GJ,43
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2030,2.98,1.78,5.71,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2035,4.31,2.48,6.52,USD2010/GJ,43
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2040,2.97,2.03,5.97,USD2010/GJ,48
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2045,3.26,2.88,6.04,USD2010/GJ,43
biomass,R10LATIN_AM,Latin America,C7,High-warming weak-policy (reference),2050,1.94,1.44,6.26,USD2010/GJ,48
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2020,2.03,1.11,3.24,USD2010/GJ,49
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2025,6.2,4.06,7.57,USD2010/GJ,45
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2030,7.6,6.6,8.67,USD2010/GJ,46
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2035,8.05,6.88,10.42,USD2010/GJ,47
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2040,12.29,8.74,15.4,USD2010/GJ,47
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2045,18.6,13.9,22.15,USD2010/GJ,47
biomass,R10MIDDLE_EAST,Middle East,C1,"1.5°C, no/limited overshoot",2050,22.3,15.64,25.54,USD2010/GJ,47
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2020,1.96,1.43,3.24,USD2010/GJ,75
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2025,5.0,3.92,7.44,USD2010/GJ,64
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2030,7.01,5.2,9.39,USD2010/GJ,70
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2035,6.56,5.17,9.8,USD2010/GJ,64
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2040,9.85,7.63,14.14,USD2010/GJ,75
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2045,13.69,11.32,20.63,USD2010/GJ,64
biomass,R10MIDDLE_EAST,Middle East,C2,"1.5°C, high overshoot",2050,16.44,12.49,26.74,USD2010/GJ,74
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2020,1.59,0.92,2.71,USD2010/GJ,172
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2025,4.23,2.07,5.11,USD2010/GJ,157
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2030,4.37,3.5,6.22,USD2010/GJ,180
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2035,5.53,4.56,6.52,USD2010/GJ,151
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2040,6.22,4.77,7.6,USD2010/GJ,171
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2045,7.16,4.66,10.02,USD2010/GJ,153
biomass,R10MIDDLE_EAST,Middle East,C3,Likely below 2°C,2050,9.02,6.09,14.7,USD2010/GJ,177
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2020,1.43,1.33,2.03,USD2010/GJ,55
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2025,1.71,1.52,4.63,USD2010/GJ,58
biomass,R10MIDDLE_EAST,Middle East,C4,Below 2°C with lower probability,2030,2.74,1.42,3.71,USD2010/GJ,64
