demand_variable,r10_region,region_label,ar6_category,category_label,year,median_twh,q25_twh,q75_twh,unit,n_scenarios
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2035,2597.01,2503.18,2974.3,TWh/yr,205
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2040,2890.23,2728.15,3247.35,TWh/yr,228
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2045,3132.6,2884.96,3639.64,TWh/yr,205
elec_buildings,R10EUROPE,Europe,C3,Likely below 2°C,2050,3370.11,3116.75,3873.79,TWh/yr,225
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2020,2262.65,2172.9,2443.19,TWh/yr,102
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2025,2541.87,2286.63,2611.68,TWh/yr,92
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2030,2674.85,2515.35,2817.62,TWh/yr,98
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2035,2748.29,2599.26,3101.95,TWh/yr,96
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2040,2960.58,2836.52,3487.53,TWh/yr,102
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2045,3185.51,2914.15,3921.27,TWh/yr,96
elec_buildings,R10EUROPE,Europe,C4,Below 2°C with lower probability,2050,3456.79,3182.47,4599.34,TWh/yr,102
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2020,2190.87,2056.81,2341.14,TWh/yr,67
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2025,2260.08,2211.17,2544.28,TWh/yr,62
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2030,2413.87,2341.39,2756.74,TWh/yr,67
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2035,2667.01,2442.46,2928.95,TWh/yr,62
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2040,2899.41,2460.05,3156.17,TWh/yr,67
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2045,2948.29,2468.18,3455.49,TWh/yr,65
elec_buildings,R10EUROPE,Europe,C7,High-warming weak-policy (reference),2050,3131.43,2500.39,3648.03,TWh/yr,70
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2020,794.6,678.89,963.65,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2025,1098.67,791.93,1304.95,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2030,1498.83,1104.7,1689.2,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2035,2074.14,1715.65,2319.11,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2040,2811.93,2497.77,3066.88,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2045,3492.13,2944.58,3739.15,TWh/yr,69
elec_buildings,R10INDIA+,India,C1,"1.5°C, no/limited overshoot",2050,3982.66,3263.63,4299.45,TWh/yr,69
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2020,794.6,678.89,1137.28,TWh/yr,97
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2025,1103.63,789.54,1402.22,TWh/yr,86
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2030,1581.26,1024.18,1785.32,TWh/yr,97
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2035,1929.73,1257.22,2197.2,TWh/yr,86
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2040,2571.95,1935.28,2780.35,TWh/yr,97
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2045,3261.9,2067.56,3434.9,TWh/yr,86
elec_buildings,R10INDIA+,India,C2,"1.5°C, high overshoot",2050,3861.02,2937.96,4290.23,TWh/yr,97
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2020,797.68,636.01,1094.75,TWh/yr,238
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2025,1159.3,765.51,1287.38,TWh/yr,215
elec_buildings,R10INDIA+,India,C3,Likely below 2°C,2030,1593.15,943.93,1886.06,TWh/yr,238
