iso3,technology,technology_label,annual_mean_cf,def_ts01,def_ts12,def_ts288,def_reduction_pct_ts01_to_ts288,def_reduction_pct_ts01_to_ts12,pct_of_total_improvement_captured_by_ts12
MLI,spv,Solar PV,0.2759,0.5214,0.1555,0.0388,92.5643,70.178,75.8153
MLI,won,Wind onshore,0.3656,0.355,0.3325,0.3039,14.4097,6.3452,44.0343
MMR,spv,Solar PV,0.2136,0.5443,0.1941,0.0815,85.0251,64.3463,75.6791
MMR,wof,,0.2424,0.4585,0.3582,0.3298,28.0666,21.8728,77.9316
MMR,won,Wind onshore,0.1698,0.5013,0.3588,0.3174,36.6789,28.4353,77.525
MNE,spv,Solar PV,0.1924,0.5659,0.2433,0.1559,72.4478,57.0004,78.6778
MNE,wof,,0.1743,0.5328,0.5099,0.4818,9.5715,4.2921,44.8424
MNE,won,Wind onshore,0.0733,0.5852,0.5601,0.5353,8.5286,4.2871,50.2676
MNG,spv,Solar PV,0.2337,0.549,0.2245,0.1084,80.2582,59.1029,73.641
MNG,won,Wind onshore,0.4357,0.3556,0.3402,0.3246,8.7203,4.3522,49.9086
MOZ,spv,Solar PV,0.2308,0.5148,0.1651,0.0844,83.6107,67.9349,81.2514
MOZ,wof,,0.4156,0.3656,0.3472,0.3351,8.3378,5.0368,60.4091
MOZ,won,Wind onshore,0.2976,0.2499,0.2088,0.1942,22.3049,16.4336,73.6772
MRT,spv,Solar PV,0.2747,0.5235,0.1628,0.0538,89.7267,68.9121,76.8023
MRT,wof,,0.6296,0.2451,0.2118,0.1841,24.8851,13.5736,54.545
MRT,won,Wind onshore,0.5605,0.2521,0.2141,0.1815,28.0013,15.06,53.7833
MWI,spv,Solar PV,0.2309,0.5147,0.1554,0.0721,85.9905,69.8151,81.1893
MWI,won,Wind onshore,0.2077,0.3283,0.2519,0.2326,29.1509,23.2825,79.8689
MYS,spv,Solar PV,0.198,0.5278,0.1775,0.0622,88.2222,66.374,75.235
MYS,wof,,0.2246,0.4023,0.3466,0.3051,24.1596,13.847,57.3147
MYS,won,Wind onshore,0.097,0.371,0.2926,0.2486,33.0058,21.1263,64.0077
NAM,spv,Solar PV,0.2798,0.5112,0.1418,0.0499,90.2425,72.259,80.072
NAM,wof,,0.6048,0.287,0.2675,0.2518,12.2456,6.7974,55.5087
NAM,won,Wind onshore,0.6282,0.2557,0.2403,0.2276,11.0018,6.0267,54.7789
NER,spv,Solar PV,0.2857,0.5206,0.1295,0.0356,93.1606,75.1293,80.6449
NER,won,Wind onshore,0.5609,0.296,0.2725,0.2384,19.4564,7.944,40.8296
NGA,spv,Solar PV,0.2599,0.5155,0.1518,0.0378,92.6715,70.5592,76.139
NGA,wof,,0.092,0.3535,0.2968,0.2639,25.3553,16.0234,63.1953
NGA,won,Wind onshore,0.2609,0.3277,0.2592,0.2041,37.7098,20.9152,55.4634
NIC,spv,Solar PV,0.2354,0.5328,0.1786,0.0664,87.5393,66.4763,75.9388
NIC,wof,,0.4117,0.3741,0.2738,0.222,40.6688,26.8091,65.9205
NIC,won,Wind onshore,0.3896,0.3292,0.2645,0.2289,30.4667,19.6642,64.5432
NLD,spv,Solar PV,0.1478,0.5758,0.2646,0.1793,68.8563,54.0514,78.4988
NLD,wof,,0.5467,0.3119,0.2964,0.2837,9.0308,4.9731,55.0682
NLD,won,Wind onshore,0.4858,0.3158,0.3008,0.2888,8.5385,4.7456,55.5783
NOR,spv,Solar PV,0.1512,0.5809,0.2774,0.1907,67.167,52.2517,77.7936
NOR,wof,,0.574,0.2943,0.2864,0.2752,6.473,2.6785,41.3788
NOR,won,Wind onshore,0.3785,0.3237,0.3152,0.3056,5.5776,2.6202,46.9766
NPL,spv,Solar PV,0.2142,0.5441,0.1869,0.0805,85.2029,65.641,77.0408
NPL,won,Wind onshore,0.1298,0.4715,0.4046,0.3646,22.6692,14.1855,62.576
NZL,spv,Solar PV,0.1717,0.5425,0.2181,0.1387,74.4299,59.7871,80.3268
NZL,wof,,0.7917,0.1699,0.167,0.1601,5.8161,1.7536,30.1506
NZL,won,Wind onshore,0.5711,0.2032,0.2005,0.1904,6.3173,1.3155,20.8239
OMN,spv,Solar PV,0.2634,0.5318,0.1572,0.0361,93.2158,70.439,75.5655
OMN,wof,,0.4017,0.3821,0.2185,0.1828,52.1605,42.826,82.1042
OMN,won,Wind onshore,0.3817,0.3474,0.2628,0.2334,32.8123,24.3681,74.265
PAK,spv,Solar PV,0.2752,0.5237,0.1503,0.0503,90.3899,71.3019,78.8826
PAK,wof,,0.2782,0.3901,0.3297,0.2926,24.9891,15.481,61.9509
PAK,won,Wind onshore,0.2988,0.3372,0.3035,0.2861,15.1512,9.992,65.9483
PAN,spv,Solar PV,0.1887,0.5533,0.2099,0.1009,81.7583,62.067,75.9152
PAN,wof,,0.196,0.521,0.375,0.2843,45.4327,28.0213,61.6764
PAN,won,Wind onshore,0.1796,0.5507,0.3798,0.2838,48.4678,31.0322,64.0265
PER,spv,Solar PV,0.2589,0.5125,0.1543,0.049,90.4361,69.8868,77.2775
PER,wof,,0.4554,0.2171,0.2075,0.1988,8.4122,4.4452,52.8428
PER,won,Wind onshore,0.2831,0.2286,0.2078,0.157,31.3034,9.0825,29.0144
PHL,spv,Solar PV,0.2065,0.5386,0.1937,0.0735,86.3477,64.0248,74.1477
PHL,wof,,0.4406,0.2733,0.2176,0.189,30.8481,20.3964,66.119
PHL,won,Wind onshore,0.2696,0.3376,0.2803,0.236,30.0928,16.9731,56.4024
PNG,spv,Solar PV,0.1752,0.5302,0.2002,0.0954,82.0155,62.2337,75.8804
PNG,wof,,0.4253,0.3601,0.2966,0.2388,33.7009,17.6548,52.3867
PNG,won,Wind onshore,0.3902,0.389,0.3153,0.2575,33.7891,18.9419,56.0592
POL,spv,Solar PV,0.1427,0.5636,0.2316,0.1414,74.9159,58.9127,78.6385
POL,wof,,0.5155,0.3151,0.3011,0.2898,8.0242,4.446,55.4074
POL,won,Wind onshore,0.3438,0.3441,0.3188,0.3017,12.3207,7.3465,59.6275
PRK,spv,Solar PV,0.2114,0.562,0.237,0.1524,72.8831,57.8219,79.3352
PRK,wof,,0.3833,0.4115,0.3901,0.3733,9.2723,5.1915,55.9893
PRK,won,Wind onshore,0.3101,0.3813,0.3602,0.3443,9.6945,5.5303,57.0462
PRT,spv,Solar PV,0.2367,0.5346,0.1891,0.1058,80.2156,64.6351,80.5767
PRT,wof,,0.4735,0.3135,0.303,0.2867,8.5485,3.3536,39.2308
PRT,won,Wind onshore,0.335,0.292,0.2772,0.2621,10.2505,5.0885,49.6417
PRY,spv,Solar PV,0.2002,0.5301,0.198,0.1197,77.4239,62.6425,80.9085
PRY,won,Wind onshore,0.3264,0.4239,0.4184,0.3964,6.4961,1.287,19.8125
QAT,spv,Solar PV,0.2561,0.5241,0.1575,0.0399,92.3928,69.9437,75.7025
QAT,wof,,0.2764,0.5073,0.4776,0.4527,10.7655,5.8704,54.5295
QAT,won,Wind onshore,0.2767,0.4393,0.4217,0.3978,9.4463,4.0015,42.3606
ROU,spv,Solar PV,0.187,0.5454,0.2154,0.1203,77.9348,60.4978,77.6262
ROU,won,Wind onshore,0.308,0.3763,0.3522,0.3393,9.8236,6.4105,65.2558
RUS,spv,Solar PV,0.2084,0.5299,0.2052,0.1017,80.7983,61.2727,75.8342
RUS,wof,,0.512,0.1732,0.1515,0.1434,17.2356,12.5555,72.8463
RUS,won,Wind onshore,0.3726,0.2379,0.2201,0.2081,12.5261,7.453,59.4995
RWA,spv,Solar PV,0.2148,0.5303,0.1982,0.1,81.1404,62.6282,77.1849
RWA,won,Wind onshore,0.0058,0.6607,0.5844,0.4987,24.5297,11.5571,47.1148
SAU,spv,Solar PV,0.2811,0.5152,0.1384,0.0318,93.8349,73.1448,77.9506
SAU,wof,,0.3621,0.3245,0.3143,0.2817,13.1857,3.1457,23.8567
SAU,won,Wind onshore,0.3716,0.2057,0.1834,0.1669,18.8374,10.8401,57.5458
SDN,spv,Solar PV,0.2869,0.5163,0.1556,0.0201,96.1164,69.8676,72.6906
SDN,wof,,0.3263,0.3277,0.3105,0.2849,13.0816,5.2546,40.1674
SDN,won,Wind onshore,0.495,0.1852,0.1599,0.1399,24.4737,13.6943,55.955
SEN,spv,Solar PV,0.2551,0.5283,0.1912,0.0512,90.3121,63.8079,70.6527
SEN,wof,,0.3733,0.3319,0.2568,0.2298,30.7623,22.6039,73.4793
SEN,won,Wind onshore,0.3458,0.3576,0.2897,0.2458,31.2705,18.9768,60.6861
SLE,spv,Solar PV,0.1928,0.5534,0.2208,0.0853,84.5883,60.1048,71.0558
SLE,wof,,0.0829,0.528,0.4471,0.3804,27.9531,15.3271,54.8315
SLE,won,Wind onshore,0.0297,0.4865,0.4034,0.3024,37.8476,17.0863,45.1451
SLV,spv,Solar PV,0.2213,0.5413,0.2036,0.0839,84.5075,62.3911,73.8291
SLV,wof,,0.0812,0.5372,0.4838,0.4358,18.8835,9.9472,52.677
SLV,won,Wind onshore,0.0522,0.6313,0.5378,0.4703,25.4964,14.8129,58.0979
SOM,spv,Solar PV,0.2528,0.533,0.1889,0.0624,88.2953,64.5679,73.1272
SOM,wof,,0.6256,0.2785,0.1756,0.1118,59.869,36.9645,61.7423
SOM,won,Wind onshore,0.625,0.259,0.1663,0.1049,59.4928,35.8072,60.1875
SRB,spv,Solar PV,0.1874,0.5517,0.2236,0.1418,74.3053,59.4806,80.0489
SRB,won,Wind onshore,0.2233,0.4762,0.4564,0.4289,9.9229,4.1596,41.9189
SSD,spv,Solar PV,0.2421,0.5261,0.166,0.036,93.1515,68.4488,73.4812
SSD,won,Wind onshore,0.2272,0.2966,0.2232,0.1781,39.9375,24.7413,61.9501
SUR,spv,Solar PV,0.2008,0.5368,0.2053,0.0963,82.0556,61.7605,75.2667
SUR,wof,,0.3234,0.3242,0.2321,0.2048,36.8217,28.4082,77.1508
SUR,won,Wind onshore,0.1988,0.3104,0.2359,0.1937,37.6056,24.0138,63.857
SVK,spv,Solar PV,0.1633,0.5791,0.2689,0.1842,68.1873,53.5702,78.5633
SVK,won,Wind onshore,0.2972,0.4448,0.4323,0.4181,6.0032,2.8154,46.8986
SVN,spv,Solar PV,0.17,0.5713,0.2713,0.1668,70.8059,52.5217,74.1771
SVN,won,Wind onshore,0.1075,0.5503,0.5354,0.5189,5.7031,2.6973,47.2959
SWE,spv,Solar PV,0.1437,0.5822,0.2761,0.1763,69.725,52.5699,75.3961
SWE,wof,,0.5041,0.3219,0.3084,0.296,8.0272,4.1982,52.2992
SWE,won,Wind onshore,0.3756,0.3284,0.3124,0.2956,9.9841,4.8506,48.5829
SYR,spv,Solar PV,0.2652,0.5234,0.1515,0.0566,89.1907,71.0599,79.6719
SYR,wof,,0.1729,0.4656,0.4395,0.4153,10.7995,5.6118,51.9629
SYR,won,Wind onshore,0.3872,0.3908,0.3162,0.2791,28.5897,19.1054,66.8261
TCD,spv,Solar PV,0.2871,0.5226,0.1541,0.0364,93.0375,70.5106,75.7873
TCD,won,Wind onshore,0.6412,0.2563,0.2108,0.1822,28.903,17.7701,61.4819
TGO,spv,Solar PV,0.2284,0.5334,0.1923,0.069,87.0735,63.9395,73.4316
TGO,wof,,0.1561,0.3187,0.2893,0.2505,21.3956,9.2305,43.142
TGO,won,Wind onshore,0.1374,0.4315,0.3403,0.2778,35.6338,21.1338,59.3085
THA,spv,Solar PV,0.209,0.5395,0.2106,0.0916,83.0303,60.9703,73.4313
THA,wof,,0.198,0.4592,0.3944,0.3457,24.7156,14.1191,57.1263
THA,won,Wind onshore,0.1793,0.4298,0.3756,0.3224,24.9895,12.6185,50.4953
TJK,spv,Solar PV,0.235,0.5385,0.1807,0.091,83.0942,66.4474,79.9664
TJK,won,Wind onshore,0.0892,0.4563,0.4411,0.4225,7.4065,3.3333,45.0057
TKM,spv,Solar PV,0.2466,0.5353,0.1975,0.0785,85.3349,63.0996,73.9436
TKM,wof,,0.3961,0.3875,0.3782,0.3634,6.2245,2.4147,38.7934
TKM,won,Wind onshore,0.4349,0.3479,0.3329,0.3196,8.1298,4.3114,53.0314
TTO,spv,Solar PV,0.228,0.5267,0.1924,0.0767,85.4345,63.4741,74.2956
TTO,wof,,0.3401,0.266,0.2187,0.1969,25.97,17.7869,68.4902
